Formula,Answer
581-156,425
413-212,201
927-570,357
427-39 ,388
941-211,730
896-679,217
927-179,748
304-296,8  
608-68 ,540
622-293,329
520-272,248
555-44 ,511
723-455,268
578-351,227
473-370,103
891-391,500
932-106,826
953-482,471
586-379,207
863-615,248
637-529,108
316-306,10 
843-58 ,785
938-661,277
775-37 ,738
901-185,716
997-642,355
242-216,26 
524-98 ,426
843-60 ,783
890-313,577
977-128,849
690-217,473
250-23 ,227
623-531,92 
282-109,173
662-180,482
252-215,37 
918-661,257
569-554,15 
795-508,287
828-347,481
561-125,436
123-115,8  
898-113,785
430-405,25 
333-290,43 
988-415,573
805-761,44 
391-305,86 
782-251,531
782-401,381
681-42 ,639
798-117,681
759-61 ,698
569-533,36 
931-314,617
793-751,42 
287-73 ,214
148-93 ,55 
942-907,35 
717-248,469
643-332,311
435-348,87 
389-318,71 
536-363,173
918-254,664
775-147,628
866-270,596
553-541,12 
28-13  ,15 
623-151,472
482-233,249
764-192,572
442-233,209
655-522,133
795-138,657
862-257,605
480-369,111
888-358,530
929-39 ,890
33-3   ,30 
395-140,255
864-765,99 
892-266,626
779-101,678
406-37 ,369
905-860,45 
856-462,394
868-372,496
951-849,102
355-294,61 
689-530,159
838-410,428
864-681,183
570-429,141
699-524,175
828-668,160
905-503,402
380-187,193
781-114,667
869-43 ,826
450-302,148
897-264,633
465-216,249
685-48 ,637
902-616,286
798-687,111
974-503,471
939-454,485
683-483,200
694-7  ,687
330-252,78 
279-270,9  
255-6  ,249
913-817,96 
584-164,420
531-90 ,441
730-598,132
967-651,316
964-172,792
724-513,211
822-332,490
979-956,23 
373-327,46 
925-249,676
903-702,201
138-116,22 
397-330,67 
528-132,396
628-478,150
776-280,496
845-340,505
956-484,472
474-173,301
905-510,395
840-110,730
497-203,294
667-508,159
176-160,16 
926-453,473
426-312,114
621-90 ,531
793-192,601
792-440,352
734-377,357
832-433,399
809-334,475
957-880,77 
927-708,219
409-308,101
939-752,187
185-125,60 
333-238,95 
783-61 ,722
412-55 ,357
918-725,193
665-88 ,577
796-739,57 
894-646,248
904-644,260
765-311,454
856-305,551
910-317,593
310-138,172
681-629,52 
857-708,149
636-400,236
967-21 ,946
396-324,72 
133-113,20 
70-65  ,5  
884-363,521
820-741,79 
595-116,479
420-327,93 
706-408,298
397-319,78 
427-406,21 
640-130,510
899-288,611
606-260,346
807-546,261
969-253,716
620-560,60 
81-28  ,53 
973-454,519
917-658,259
976-211,765
779-677,102
465-303,162
496-44 ,452
807-623,184
626-128,498
611-64 ,547
841-523,318
609-496,113
786-697,89 
851-357,494
608-229,379
620-359,261
816-193,623
628-41 ,587
896-683,213
963-294,669
650-251,399
889-437,452
592-507,85 
925-527,398
471-142,329
768-684,84 
747-735,12 
994-754,240
856-456,400
908-725,183
924-742,182
881-94 ,787
667-276,391
825-36 ,789
972-222,750
659-394,265
986-407,579
989-425,564
993-836,157
954-196,758
729-480,249
618-239,379
864-383,481
469-246,223
984-92 ,892
933-879,54 
809-603,206
927-781,146
345-87 ,258
934-549,385
781-686,95 
752-694,58 
333-0  ,333
291-277,14 
357-67 ,290
774-119,655
539-517,22 
210-40 ,170
180-17 ,163
875-758,117
885-59 ,826
667-253,414
682-116,566
326-156,170
265-27 ,238
933-104,829
260-95 ,165
965-184,781
589-492,97 
498-79 ,419
192-99 ,93 
388-34 ,354
429-265,164
354-0  ,354
659-92 ,567
787-158,629
872-53 ,819
220-62 ,158
192-180,12 
260-180,80 
377-301,76 
881-508,373
969-453,516
851-677,174
953-615,338
933-891,42 
658-613,45 
811-157,654
857-612,245
856-126,730
979-888,91 
895-822,73 
493-255,238
588-207,381
993-991,2  
525-188,337
899-614,285
568-44 ,524
27-7   ,20 
972-117,855
442-1  ,441
129-49 ,80 
465-159,306
731-30 ,701
584-495,89 
485-45 ,440
302-47 ,255
910-614,296
596-481,115
406-25 ,381
605-22 ,583
813-769,44 
800-688,112
719-145,574
413-206,207
898-13 ,885
943-34 ,909
819-728,91 
686-128,558
788-93 ,695
392-307,85 
864-827,37 
142-81 ,61 
900-463,437
961-714,247
938-424,514
880-371,509
291-158,133
880-257,623
870-581,289
418-192,226
403-354,49 
220-88 ,132
499-391,108
583-202,381
529-214,315
917-34 ,883
846-649,197
724-79 ,645
825-786,39 
979-105,874
221-171,50 
904-27 ,877
523-105,418
783-759,24 
833-583,250
924-426,498
981-284,697
