Formula,Answer
905282*406555,368046923510
914279*344320,314804545280
938078*67763 ,63566979514 
785413*374021,293760955673
974134*726675,707878824450
880190*528008,464747361520
532078*162573,86501516694 
475201*431983,205278753583
534645*363326,194250429270
766026*41416 ,31725732816 
487205*307891,150006034655
721837*634705,458153553085
655167*34900 ,22865328300 
779252*421415,328388481580
984014*509640,501492894960
710893*108180,76904404740 
994484*195644,194564827696
525427*47844 ,25138529388 
694900*409262,284396163800
923045*896486,827496919870
375905*77818 ,29252175290 
843133*135925,114602853025
689008*294648,203014829184
598921*590654,353755084334
742209*229252,170152897668
679859*426629,290047565311
720540*451242,325137910680
174738*162056,28317341328 
321439*124438,39999226282 
977785*62744 ,61350142040 
326946*240773,78719769258 
518774*168810,87574238940 
510668*373416,190691601888
712169*526495,374953417655
660618*169143,111738910374
464847*269581,125313919107
926784*529294,490541210496
831849*267712,222695959488
80880*15684  ,1268521920  
600536*224247,134668396392
762824*277269,211507447656
921526*533596,491722587496
413155*120000,49578600000 
985086*521199,513425838114
442708*354494,156937329752
555412*19823 ,11009932076 
727853*442451,322039287703
916378*197979,181423600062
412695*240025,99057117375 
862843*672953,580652785379
803233*750454,602789417782
608944*502306,305876224864
862395*589123,508056729585
946698*679675,643446963150
774974*425043,329397273882
705854*66316 ,46809413864 
877453*278532,244398738996
387704*113191,43884603464 
917772*839174,770170400328
498593*489382,244002439526
654458*407107,266434433006
563789*327404,184586773756
403712*16639 ,6717363968  
994909*486496,484019248864
254023*47836 ,12151444228 
699254*257147,179811068338
526286*316363,166497417818
550843*73444 ,40456113292 
526576*1217  ,640842992   
874279*722295,631487350305
867953*489378,424757103234
308853*116463,35969946939 
831393*771497,641417205321
502658*123065,61859606770 
548423*495073,271509419879
919005*791551,727439326755
934778*118459,110732867102
641250*149356,95774535000 
693931*451532,313332052292
491864*447157,219940430648
833182*269793,224786671326
349473*201486,70413916878 
673802*74817 ,50411844234 
361658*98660 ,35681178280 
566117*374388,211947411396
762086*695303,529880682058
980444*944283,925816601652
885489*681077,603086191653
970473*251704,244271935992
814450*479362,390416380900
910829*507452,462201997708
702759*279027,196088735493
247182*162263,40108492866 
370455*34919 ,12935918145 
206334*85389 ,17618653926 
312029*125046,39017978334 
997564*646470,644895199080
768600*152448,117171532800
859143*447096,384119398728
687757*542915,373393591655
698145*87275 ,60930604875 
994612*583516,580372015792
643062*105510,67849471620 
780881*586077,457656393837
736236*183545,135132436620
909513*646597,588088377261
675515*108675,73411592625 
953342*595883,568080290986
942462*622046,586254717252
871081*802121,698712362801
609767*247745,151066725415
614272*274337,168517537664
603667*226340,136633988780
202066*48969 ,9894969954  
878206*694866,610235490396
831587*355870,295936865690
605267*365401,221165167067
266449*64319 ,17137733231 
383773*303644,116530368812
592015*50727 ,30031144905 
805029*353775,284799134475
328693*24429 ,8029641297  
763920*212696,162482728320
306545*91705 ,28111709225 
394453*107272,42313762216 
679373*313191,212773509243
560965*278947,156479503855
707794*651446,461089570124
979176*766692,750726405792
622581*478662,298005866622
919559*520197,478351833123
623632*386780,241208384960
248597*246065,61171020805 
684415*654298,447811365670
530910*218246,115868983860
556539*64044 ,35642983716 
685890*618362,424128312180
942170*377065,355259331050
650862*637697,415052744814
937889*493454,462805078606
486483*413435,201129099105
315405*306118,96551147790 
647503*100826,65285137478 
471606*102597,48385360782 
173779*26382 ,4584637578  
916820*578672,530538063040
693330*137291,95187969030 
926094*912735,845278407090
920359*297179,273511367261
978655*159309,155908549395
877803*373221,327614513463
391509*74015 ,28977538635 
294625*210474,62010902250 
415385*320973,133327369605
825023*114435,94411507005 
839937*427601,359157901137
400524*278695,111624036180
582057*283170,164821080690
550492*440277,242368966284
661050*602466,398260149300
748935*431025,322809708375
913037*383479,350130515723
933670*548354,511981679180
749010*114313,85621580130 
362613*164027,59478322551 
867173*356360,309025770280
930989*125648,116976905872
696965*26902 ,18749752430 
725003*295574,214292036722
912408*330514,301563617712
386651*174417,67438507467 
158537*5252  ,832636324   
998378*773022,771768158316
