Formula,Answer
47137-7614 ,39523 
59058+31699,90757 
94574-2893 ,91681 
80842+29096,109938
74661-33240,41421 
93650-73876,19774 
95079-58365,36714 
65559+27921,93480 
53458+2392 ,55850 
41780-32271,9509  
58587-18632,39955 
15889-1706 ,14183 
91763+64197,155960
84974-24704,60270 
81757-51379,30378 
35250+23397,58647 
47401-33178,14223 
14153+10317,24470 
90462+21672,112134
55535-2127 ,53408 
50491+34761,85252 
50759+20974,71733 
78740+3755 ,82495 
82639+28560,111199
61695+9661 ,71356 
89270+32440,121710
76825-37978,38847 
55897+28124,84021 
91245+26491,117736
54091+28828,82919 
72863-72837,26    
96998+57531,154529
79972-15002,64970 
73939-21723,52216 
47953+13846,61799 
47189+23581,70770 
96408+27736,124144
51379-32897,18482 
15951+6291 ,22242 
94081+36021,130102
68294+3796 ,72090 
46247+3025 ,49272 
42933+18411,61344 
96479-32642,63837 
85410+15044,100454
73310+28782,102092
76491+75565,152056
70501-33132,37369 
96066+26704,122770
74830-1940 ,72890 
56941-30054,26887 
98812-75193,23619 
44188-21121,23067 
6235-3444  ,2791  
94770+45325,140095
83612+30702,114314
80316-53464,26852 
18596-12264,6332  
58230+23552,81782 
78047+17786,95833 
46665-43247,3418  
13241+513  ,13754 
99714-6721 ,92993 
97114-66712,30402 
37894+28821,66715 
66004-45863,20141 
59591+30911,90502 
77173-73114,4059  
91225+26022,117247
98255+29447,127702
76760-42523,34237 
93236+41693,134929
62873-55946,6927  
50757-35784,14973 
33578-680  ,32898 
41377+15533,56910 
69912+18115,88027 
69483+44319,113802
74655-14409,60246 
17970-14527,3443  
79169+20170,99339 
54549-40351,14198 
86137-45434,40703 
99430-20143,79287 
82805+37589,120394
56398+16915,73313 
96145+34030,130175
90468+40675,131143
89635-29599,60036 
94160+69427,163587
33328-7184 ,26144 
62046-10557,51489 
63136+48450,111586
32993-24044,8949  
41552+15887,57439 
63276-23318,39958 
86018-70071,15947 
57812-42173,15639 
70398-39920,30478 
72610+50801,123411
48822-46648,2174  
41320+29669,70989 
71821-55828,15993 
44683-13753,30930 
56046-10813,45233 
98408-29216,69192 
53950-39960,13990 
56471-43422,13049 
79069+39097,118166
23076+738  ,23814 
96721+79020,175741
99364+41246,140610
67751+11774,79525 
91403-60909,30494 
75292-3500 ,71792 
99552-42069,57483 
84226-61824,22402 
24118-387  ,23731 
91417+86019,177436
81770+16769,98539 
48644+47757,96401 
82895+20243,103138
58549+2804 ,61353 
82861-73212,9649  
74391-71275,3116  
26462-3610 ,22852 
94638+23430,118068
87668+43108,130776
95350+64640,159990
96929-27803,69126 
89084-320  ,88764 
97543+84022,181565
91392-60622,30770 
65050+28738,93788 
54306+38610,92916 
85258+63364,148622
71273+56476,127749
86328-29961,56367 
88146+6403 ,94549 
47105-17117,29988 
