Formula,Answer
44650*11006,491417900 
86341*1165 ,100587265 
50980*12775,651269500 
57313*50584,2899120792
45986*37320,1716197520
52249*49583,2590662167
38349*30316,1162588284
53477*3890 ,208025530 
87494*7066 ,618232604 
59982*1098 ,65860236  
85985*69904,6010695440
70052*51236,3589184272
20073*2390 ,47974470  
51439*11619,597669741 
93261*49896,4653350856
98924*23243,2299290532
85197*22996,1959190212
69351*63469,4401638619
81906*63398,5192676588
50320*30128,1516040960
39022*21523,839870506 
74782*49316,3687949112
97979*60374,5915384146
79282*32838,2603462316
90128*22413,2020038864
81418*41075,3344244350
48138*44497,2141996586
89262*26833,2395167246
31531*29584,932813104 
11802*88   ,1038576   
90948*63346,5761192008
96294*74352,7159651488
9347*1151  ,10758397  
54425*27402,1491353850
44845*22935,1028520075
36555*33277,1216440735
63818*15835,1010558030
70294*16364,1150291016
94111*36366,3422440626
89713*73257,6572105241
57041*25841,1473996481
72519*18521,1343124399
85359*34658,2958372222
89106*42752,3809459712
23841*19426,463135266 
27370*19122,523369140 
99162*69493,6891064866
73098*3953 ,288956394 
59204*15727,931101308 
58543*11255,658901465 
69348*15321,1062480708
67666*15954,1079543364
77791*71212,5539652692
65561*6073 ,398151953 
30334*25117,761899078 
80599*205  ,16522795  
42550*13615,579318250 
89968*76064,6843325952
53265*24710,1316178150
37773*7363 ,278122599 
80111*14750,1181637250
49154*5524 ,271526696 
80555*24380,1963930900
69850*39424,2753766400
71780*50071,3594096380
90994*3276 ,298096344 
28483*9212 ,262385396 
58061*26432,1534668352
98774*48411,4781748114
70509*35237,2484525633
58112*14373,835243776 
84467*45472,3840883424
99714*78386,7816181604
54427*6822 ,371300994 
92427*14090,1302296430
89738*4884 ,438280392 
63080*3619 ,228286520 
91057*11769,1071649833
14853*4705 ,69883365  
75938*48600,3690586800
85013*36468,3100254084
70329*7024 ,493990896 
73974*60928,4507087872
45085*14554,656167090 
46971*2156 ,101269476 
76966*41692,3208866472
67455*2354 ,158789070 
99677*47012,4686015124
61594*1298 ,79949012  
68798*16213,1115421974
35656*27021,963460776 
88636*74233,6579716188
52571*12550,659766050 
92458*26544,2454205152
50367*11366,572471322 
50234*17830,895672220 
75636*11240,850148640 
71425*2257 ,161206225 
33441*1442 ,48221922  
22652*11984,271461568 
86127*31536,2716101072
66004*58159,3838726636
73009*32977,2407617793
71600*56731,4061939600
59159*16658,985470622 
93245*86812,8094784940
75346*34446,2595368316
79967*30772,2460744524
95235*72607,6914727645
53680*3115 ,167213200 
81601*24102,1966747302
61595*7585 ,467198075 
94159*77774,7323122066
65082*28091,1828218462
45857*9243 ,423856251 
99060*66825,6619684500
53559*8673 ,464517207 
74065*23562,1745119530
39591*1693 ,67027563  
49100*19646,964618600 
49599*36072,1789135128
8930*4761  ,42515730  
44728*21136,945371008 
98791*86660,8561228060
92901*31638,2939201838
36074*22680,818158320 
80970*2453 ,198619410 
58137*33756,1962472572
92423*45916,4243694468
88260*80547,7109078220
21593*20268,437646924 
60745*166  ,10083670  
41892*21936,918942912 
86075*54939,4728874425
41118*14231,585150258 
96539*23976,2314619064
80409*77914,6264986826
96746*66298,6414066308
94509*65589,6198750801
96926*43631,4228978306
67942*66538,4520724796
52094*35624,1855796656
45740*27612,1262972880
66157*3611 ,238892927 
22931*4004 ,91815724  
40622*28869,1172716518
45160*9370 ,423149200 
84361*27987,2361011307
40202*13948,560737496 
12996*11067,143826732 
88809*14662,1302117558
69266*51042,3535475172
79029*41673,3293375517
94877*51134,4851440518
92425*41113,3799869025
15022*799  ,12002578  
52711*9659 ,509135549 
54733*16604,908786732 
26847*20968,562927896 
91526*17602,1611040652
36791*32728,1204095848
78908*19858,1566955064
21583*10377,223966791 
45406*28489,1293571534
87058*47433,4129422114
70513*44335,3126193855
92908*24947,2317775876
28555*888  ,25356840  
48519*25144,1219961736
99308*66701,6623942908
92536*9769 ,903984184 
82241*69422,5709334702
86367*64653,5583885651
54828*7861 ,431002908 
98059*37738,3700550542
49679*11370,564850230 
38037*27442,1043811354
61159*49430,3023089370
81201*39981,3246497181
91951*76523,7036366373
50856*9784 ,497575104 
76344*56766,4333743504
64460*28369,1828665740
54860*1720 ,94359200  
78602*47552,3737682304
64439*44875,2891700125
73769*45992,3392783848
73522*39297,2889194034
92205*83382,7688237310
67304*44964,3026257056
82555*47484,3920041620
82764*51870,4292968680
50384*41017,2066600528
39001*10239,399331239 
62659*21557,1350740063
71089*24423,1736206647
87207*52687,4594675209
89075*21583,1922505725
89875*39363,3537749625
24748*10697,264729356 
67095*47121,3161583495
55747*27042,1507510374
50294*41467,2085541298
57053*55107,3144019671
49422*18602,919348044 
90433*52400,4738689200
53691*49904,2679395664
58780*34667,2037726260
78525*52025,4085263125
67682*50910,3445690620
50250*32768,1646592000
21753*15151,329579703 
71093*8945 ,635926885 
79118*49655,3928604290
85369*19157,1635413933
42039*10250,430899750 
58545*40808,2389104360
90699*18188,1649633412
82820*51640,4276824800
52760*8895 ,469300200 
19331*10146,196132326 
54864*3003 ,164756592 
65433*53422,3495561726
86826*11119,965418294 
85024*78522,6676254528
91154*72608,6618509632
37133*21164,785882812 
24359*20111,489883849 
81753*34586,2827509258
83581*55177,4611748837
39736*11180,444248480 
37507*22199,832617893 
91323*78014,7124472522
87343*13936,1217212048
97375*27422,2670217250
92675*40872,3787812600
27745*11640,322951800 
1791*1119  ,2004129   
68377*44133,3017682141
96548*89409,8632260132
43192*16401,708391992 
38155*2502 ,95463810  
91804*58717,5390455468
55497*29065,1613020305
42410*5805 ,246190050 
45956*7100 ,326287600 
60983*45028,2745942524
95181*3201 ,304674381 
29859*9455 ,282316845 
37129*30626,1137112754
29511*18507,546160077 
83409*25947,2164213323
67580*64757,4376278060
71727*13255,950741385 
70723*50252,3553972196
75056*43386,3256379616
77140*20349,1569721860
17977*7418 ,133353386 
26819*26103,700056357 
88647*16726,1482709722
56301*40635,2287791135
51008*13432,685139456 
55395*40778,2258897310
35047*8494 ,297689218 
57130*12608,720295040 
86898*14572,1266277656
96096*24118,2317643328
29075*27017,785519275 
51002*9757 ,497626514 
26120*18122,473346640 
80641*29107,2347217587
86468*82140,7102481520
80953*50169,4061331057
27398*16481,451546438 
48120*6958 ,334818960 
56945*34886,1986583270
14903*10977,163590231 
93766*12298,1153134268
95215*74577,7100849055
45897*38317,1758635349
49253*20134,991659902 
84132*71537,6018550884
34808*15272,531587776 
64815*22942,1486985730
62880*61440,3863347200
14924*9654 ,144076296 
98744*12788,1262738272
48807*25131,1226568717
60480*48402,2927352960
40427*26372,1066140844
68535*46131,3161588085
98242*39197,3850791674
77075*951  ,73298325  
61731*1860 ,114819660 
51073*38499,1966259427
19632*1403 ,27543696  
29410*19285,567171850 
81620*41319,3372456780
25467*14235,362522745 
78154*32432,2534690528
89183*32299,2880521717
55871*5750 ,321258250 
64724*47349,3064616676
98272*16293,1601145696
95832*44269,4242386808
48535*32234,1564477190
92188*84146,7757251448
66294*38601,2559014694
88369*36205,3199399645
86033*28476,2449875708
94712*4671 ,442399752 
30498*13248,404037504 
99243*2269 ,225182367 
91597*1590 ,145639230 
79155*13680,1082840400
12482*7835 ,97796470  
94393*6966 ,657541638 
21148*13589,287380172 
72566*7339 ,532561874 
61751*33623,2076253873
90146*87268,7866861128
82265*58002,4771534530
41009*32185,1319874665
86635*29025,2514580875
57088*49261,2812211968
32132*27652,888514064 
84722*61729,5229804338
65050*31479,2047708950
88220*19379,1709615380
91348*27415,2504305420
48498*34492,1672793016
64469*62903,4055293507
94766*3439 ,325900274 
56816*23293,1323415088
68788*41256,2837917728
81032*58227,4718250264
73044*38002,2775818088
91497*73383,6714324351
80214*48242,3869683788
88757*35185,3122915045
90996*31025,2823150900
90004*82527,7427760108
60077*34592,2078183584
57049*24606,1403747694
91833*26237,2409422421
77836*45377,3531964172
96589*57679,5571156931
46832*36829,1724775728
75640*62218,4706169520
74004*38093,2819034372
69893*7084 ,495122012 
64784*30333,1965093072
94162*13393,1261111666
15055*5906 ,88914830  
17731*574  ,10177594  
92339*18093,1670689527
40985*34698,1422097530
22657*12639,286361823 
31520*31028,978002560 
9263*5887  ,54531281  
69065*29581,2043011765
72406*38993,2823327158
50229*17310,869463990 
26362*25094,661528028 
91894*39872,3663997568
89698*84523,7581544054
89302*53608,4787301616
41931*26670,1118299770
99030*92759,9185923770
98578*15042,1482810276
45170*18109,817983530 
79494*78776,6262219344
87359*11402,996067318 
86278*61308,5289531624
80001*2600 ,208002600 
36770*29533,1085928410
70677*43192,3052680984
63042*13644,860145048 
87910*15181,1334561710
70148*47670,3343955160
62776*61610,3867629360
39342*18231,717244002 
56748*5763 ,327038724 
68306*54302,3709152412
56422*48801,2753450022
20024*11337,227012088 
57999*1139 ,66060861  
81030*68650,5562709500
72096*61150,4408670400
99378*45985,4569897330
66792*55446,3703349232
17419*13692,238500948 
38033*4816 ,183166928 
56580*54447,3080611260
62080*24866,1543681280
30480*17690,539191200 
76060*36577,2782046620
66696*12944,863313024 
77879*32788,2553496652
39915*22762,908545230 
78590*1825 ,143426750 
