Formula,Answer
867928-101343,766585
451339-146520,304819
806664-491126,315538
299679-266480,33199 
914226-279199,635027
976954-858907,118047
372563-32306 ,340257
845630-127953,717677
970647-143597,827050
765011-72224 ,692787
694640-104601,590039
975311-427566,547745
245608-68722 ,176886
224925-34126 ,190799
761912-549838,212074
819654-441165,378489
971439-583330,388109
150485-23149 ,127336
862084-645535,216549
515858-476619,39239 
371866-168956,202910
662294-436428,225866
606470-275332,331138
365804-239383,126421
455825-402780,53045 
464501-450600,13901 
714955-88700 ,626255
713013-41468 ,671545
409695-249341,160354
320003-142803,177200
791220-672934,118286
756187-129390,626797
671779-81763 ,590016
91023-37834  ,53189 
920762-526271,394491
575788-283582,292206
878471-591755,286716
868595-47363 ,821232
860711-681676,179035
639035-519442,119593
833991-35996 ,797995
789311-120640,668671
915504-847483,68021 
866324-136130,730194
631789-145678,486111
798357-580902,217455
793936-505710,288226
797967-691924,106043
832847-377822,455025
790883-730269,60614 
585569-144216,441353
399905-292968,106937
258725-127904,130821
980942-336836,644106
976211-247058,729153
706886-182221,524665
488959-302094,186865
698675-481245,217430
580149-441577,138572
327017-305831,21186 
51817-39993  ,11824 
909606-480986,428620
523799-227420,296379
928282-316113,612169
950216-897816,52400 
806339-450129,356210
672578-45408 ,627170
328636-116496,212140
672706-147529,525177
982600-930935,51665 
811125-806342,4783  
968279-345724,622555
499168-221282,277886
585037-179527,405510
878960-490879,388081
629913-530708,99205 
437851-246012,191839
679209-553714,125495
420976-31789 ,389187
408789-370028,38761 
735281-175192,560089
156890-109667,47223 
898489-397025,501464
714729-13707 ,701022
879617-542750,336867
984601-739316,245285
934093-619717,314376
795837-790536,5301  
948960-222492,726468
770718-153382,617336
616580-411780,204800
932128-66297 ,865831
784840-310345,474495
916119-606134,309985
703506-210653,492853
974183-851225,122958
812279-516955,295324
908772-294840,613932
876800-700937,175863
940089-111074,829015
748379-678219,70160 
674221-64225 ,609996
875901-76481 ,799420
586124-555854,30270 
988698-658729,329969
802824-519042,283782
877838-29728 ,848110
637352-460479,176873
834006-793564,40442 
401325-356570,44755 
375795-283156,92639 
841181-396245,444936
983235-918683,64552 
768018-668254,99764 
533376-483946,49430 
809831-804516,5315  
753442-349035,404407
501450-357171,144279
530147-494912,35235 
258164-45004 ,213160
853566-460848,392718
909047-650823,258224
899633-890925,8708  
238313-163648,74665 
331540-292086,39454 
785178-634980,150198
777507-225646,551861
814287-246362,567925
908441-197286,711155
404987-35579 ,369408
530546-466992,63554 
722188-456750,265438
456115-100631,355484
423598-158001,265597
325549-200812,124737
865064-24378 ,840686
426779-204261,222518
464772-177915,286857
419178-209986,209192
924470-728925,195545
585748-329853,255895
937675-545031,392644
936203-650309,285894
516895-239834,277061
152565-109593,42972 
822186-761446,60740 
325344-206954,118390
897258-28285 ,868973
947208-382622,564586
882204-36122 ,846082
267596-202268,65328 
336527-321617,14910 
303610-298084,5526  
609572-378068,231504
494962-468518,26444 
555442-548494,6948  
666053-283510,382543
823223-611786,211437
939806-905446,34360 
846058-541685,304373
224807-172224,52583 
485219-360212,125007
737458-141314,596144
770993-482110,288883
662405-417908,244497
861193-661526,199667
799794-640962,158832
772745-60477 ,712268
214838-209646,5192  
328328-206084,122244
412495-390068,22427 
581371-519843,61528 
554062-156780,397282
752491-178809,573682
746018-629090,116928
373733-241744,131989
808469-315843,492626
957648-574493,383155
285609-238731,46878 
874372-465056,409316
197724-105148,92576 
974542-817431,157111
437838-22646 ,415192
828719-754961,73758 
450378-272864,177514
119781-113830,5951  
791153-705603,85550 
990876-80760 ,910116
855224-112323,742901
470799-72451 ,398348
570758-14549 ,556209
565380-382181,183199
529447-128590,400857
177173-32633 ,144540
924091-917887,6204  
757758-471598,286160
696853-673886,22967 
779042-434904,344138
999396-304366,695030
548703-99918 ,448785
632618-512917,119701
405074-357682,47392 
812675-326771,485904
710033-307327,402706
877773-297504,580269
828548-350864,477684
640460-480791,159669
947452-107644,839808
708794-582588,126206
450577-330956,119621
753653-118838,634815
717065-522663,194402
798044-105944,692100
929432-303804,625628
390227-262884,127343
231854-91278 ,140576
368152-74306 ,293846
744670-682450,62220 
570751-513215,57536 
251356-229811,21545 
561389-462540,98849 
726154-333995,392159
837765-120297,717468
425981-223797,202184
770042-38074 ,731968
410266-174617,235649
968079-101115,866964
983273-213944,769329
762003-338619,423384
644080-196347,447733
762150-513542,248608
825880-132028,693852
768726-734258,34468 
663660-392870,270790
85667-18261  ,67406 
755411-732724,22687 
975097-611173,363924
631486-165117,466369
235776-155747,80029 
782777-71338 ,711439
946386-625683,320703
725935-71280 ,654655
730944-717442,13502 
508338-79844 ,428494
674615-646181,28434 
688577-585582,102995
431252-102045,329207
685238-466302,218936
958660-789950,168710
181604-88880 ,92724 
941668-823883,117785
460546-29852 ,430694
881877-22968 ,858909
834152-828761,5391  
781990-718496,63494 
780884-171651,609233
