Formula,Answer
37163*831  ,30882453  
89515*58662,5251128930
53821*2623 ,141172483 
90478*76980,6964996440
66714*15422,1028863308
61343*47672,2924343496
41004*3443 ,141176772 
18049*11404,205830796 
6504*6397  ,41606088  
86498*9935 ,859357630 
30523*14545,443957035 
56757*4559 ,258755163 
21117*8606 ,181732902 
91819*67856,6230470064
18131*8515 ,154385465 
79420*21112,1676715040
72541*15886,1152386326
28622*721  ,20636462  
54506*7970 ,434412820 
42333*21084,892548972 
80705*28682,2314780810
72876*51561,3757559436
94520*21138,1997963760
23123*10080,233079840 
17887*16042,286943254 
61700*36767,2268523900
89102*57395,5114009290
54237*18116,982557492 
42465*10721,455267265 
81926*59111,4842727786
11715*5717 ,66974655  
85151*43783,3728166233
23259*13308,309530772 
36634*8950 ,327874300 
94034*19558,1839116972
82345*48274,3975122530
50649*43508,2203636692
32363*5935 ,192074405 
69141*46491,3214434231
51644*20563,1061955572
83958*76520,6424466160
85381*66176,5650173056
65866*33398,2199792668
73469*69356,5095515964
70432*34529,2431946528
98591*76377,7530084807
88727*82314,7303474278
49954*32957,1646333978
79560*47980,3817288800
56880*24824,1411989120
61963*20445,1266833535
93123*29738,2769291774
73479*31588,2321054652
36080*35003,1262908240
53008*13887,736122096 
79302*44760,3549557520
62207*30162,1876287534
67976*3158 ,214668208 
21290*20754,441852660 
27249*9942 ,270909558 
80833*46646,3770536118
73455*39964,2935555620
51386*1741 ,89463026  
68902*32477,2237730254
84468*27805,2348632740
97340*53197,5178195980
75920*42913,3257954960
38960*16763,653086480 
69779*18394,1283514926
82154*55867,4589697518
36711*28419,1043289909
96611*10528,1017120608
74227*8220 ,610145940 
98310*13069,1284813390
63434*38679,2453563686
88451*52017,4600955667
60587*44531,2697999697
81165*12856,1043457240
75566*34701,2622215766
54500*4135 ,225357500 
71911*9002 ,647342822 
82298*8101 ,666696098 
95230*19398,1847271540
96528*38304,3697408512
18538*4838 ,89686844  
59092*23156,1368334352
89012*10684,951004208 
93467*15395,1438924465
97488*38081,3712440528
74245*21124,1568351380
71272*47583,3391335576
97023*53298,5171131854
82633*59628,4927240524
84867*35952,3051138384
52504*51100,2682954400
89389*19696,1760605744
97517*61479,5995247643
49123*24313,1194327499
15442*5044 ,77889448  
99206*59948,5947201288
88157*71093,6267345601
83887*68405,5738290235
90135*40341,3636136035
75521*17455,1318219055
44107*5936 ,261819152 
85379*26704,2279960816
65192*10152,661829184 
94440*47413,4477683720
99662*6386 ,636441532 
22761*11895,270742095 
58647*20941,1228126827
66399*41182,2734443618
97483*26201,2554152083
15991*15985,255616135 
87821*61741,5422156361
63918*23473,1500347214
83774*13184,1104476416
80961*18670,1511541870
35300*8791 ,310322300 
75851*3943 ,299080493 
16373*10110,165531030 
97865*36483,3570408795
97143*352  ,34194336  
98062*83180,8156797160
85398*30101,2570565198
81734*9003 ,735851202 
35504*13789,489564656 
92502*51795,4791141090
20532*17647,362328204 
70590*33422,2359258980
92681*80047,7418836007
98196*61845,6072931620
93513*7107 ,664596891 
64546*15434,996202964 
77308*13431,1038323748
95005*42568,4044172840
79492*18555,1474974060
84688*9570 ,810464160 
41808*19469,813959952 
40860*31768,1298040480
72743*56574,4115362482
94943*29595,2809838085
82531*10416,859642896 
94759*39720,3763827480
67920*25181,1710293520
15220*3262 ,49647640  
31400*9841 ,309007400 
7920*1623  ,12854160  
94017*47834,4497209178
70464*57465,4049213760
88687*31983,2836476321
46564*41332,1924583248
82295*51352,4226012840
90831*62889,5712270759
30723*15893,488280639 
31886*1086 ,34628196  
67822*233  ,15802526  
94744*93246,8834499024
67367*17312,1166257504
98811*18313,1809525843
78636*11880,934195680 
81798*22966,1878572868
48718*2131 ,103818058 
85024*35586,3025664064
90566*79777,7225083782
80519*50488,4065243272
99891*90887,9078793317
86329*74179,6403798891
45642*4498 ,205297716 
91524*84567,7739910108
63181*45573,2879347713
63583*48562,3087717646
88477*39265,3474049405
78682*55575,4372752150
72112*5936 ,428056832 
94742*74325,7041699150
91740*1422 ,130454280 
32676*25601,836538276 
76356*73905,5643090180
75201*28157,2117434557
81338*13805,1122871090
82010*68769,5639745690
80195*42661,3421198895
43772*24922,1090885784
98930*97232,9619161760
34555*31094,1074453170
75597*24771,1872613287
96372*56908,5484337776
